Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
Procter & Gamble,Information Technology – Business Analyst Internship (M/F),"Madrid, Comunidad de Madrid, España",Publicado hace hace 5 meses,1440 visualizaciones,IT 00002650,Artículos de consumo,Jornada completa,Gestión de proyectos Diseño Tecnología de la información,"Description

Do you have passion to transform P&G's brand building while enabling better decision-making through advanced analytics? enhance business results and improving consumer's lives every single day? Then this role could be perfect for you.

Information Technology (IT) uses information and business knowledge to craft innovative solutions that change the way P&G runs business.

We innovate every single day the way business is done, through advanced mathematical models, providing optimization algorithms and uncovering unexpected insights.

A career in IT Data & Analytics will build your ability to influence and think strategically, across a breadth of experiences on multiple P&G business. In Analytics & Insights we partner with the consumer research group, creating a multifunctional team that delivers breakthrough insights and innovative business transformation to P&G.

This is a unique opportunity to join an award-winning IT and Alnalytics community working on a multi-billion dollar business based in our P&G Spain Headoffice in Madrid

Your Responsibilities To Start Your Career Will Be
Deliver regular analytic insights, by using advanced analytic techniques, mining extremely large data sets and applying best in class algorithms developed with/by other Data Scientists, for example
Analyze Market & Share performance of our brand portfolio to spot trends and understand their true causes
Forecast key competitive threats as well as growth opportunities and design market strategies
Model the expected outcomes of alternative scenarios to best inform the top management and provide recommendations to facilitate better and faster choices, impacting multi-million dollar decisions.
Lead and improve the analytical program of your business unit together with our consumer research group:
Design the data strategy for the business unit
Adopt the right platform and big data technologies, collaborating with P&G Global Business Services managers
Operationalize best in class algorithm
Grow the organizations’ knowledge with analytic capabilities.

Qualifications

To qualify for the position, you possess the following qualities:
Bachelor or Master Degree (preferably but not necessarily in a quantitative field e.g. Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics etc)
1-2 Proven experience in the Analytics or Big Data space
Can handle multiple priorities and you have either an entrepreneur or consultancy mind-set, while technically (data) savvy.
Passionate about discovering new things and learn quickly.
Strong interpersonal skills, self-motivated, collaborative and ""can-do"" attitude
Effective communication, excellent verbal and written English business skills required
…and it would be great to have as an addition:
Modelling and Operational Research basics
Data Science basic (e.g. Machine Learning, Cross Validation, Target Shuffling…)
Data management and visualization skills / tools (KNIME, Spotfire, PowerBI or similar) is nice to have
Together with programming languages (Python, R, C#, SQL or Java)
What we offer:
Responsibility from Day 1 – you will feel the ownership of your work from the beginning
Recognized cutting edge IT skills with development opportunities in either a Data & Analytics specialized career path
Meaningful work in a dynamic, diverse, multi-cultural and flexible working environment, impacting future business results.
Continuous coaching and mentorship
Dynamic, creative and supportive work environment
Employees are at the core, we value every individual and encourage initiatives, promoting agility and work/life balance
A competitive complete compensation and benefits package, including company contributed pension scheme, share plans and private medical insurance. To find more information about our benefits package take a look here: https://www.pgcareers.com/benefits
Who we are
P&G is one of the world’s largest consumer goods companies and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We have one of the strongest portfolio’s of loved and trusted brands such as Braun®, Fairy®, Gillette®, Head & Shoulders®, Pantene®, Oral-B®, and Dodot®.
At P&G #weseeequal
Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on inclusion.

We are an equal opportunity employer and value diversity at our company. Our people are all equally talented in unique ways: we come from diverse traditions, personal experiences and points of view. And we want to include yours. Are you ready to inspire us with your unrivalled ideas?”

We do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability or any other legally protected factor.

We value flexibility and life balance and we have tools and policies ensuring our people feel part of an inclusive community.

IT 00002650
Sector
Artículos de consumo
Tipo de empleo
Jornada completa
Funciones laborales
Gestión de proyectos Diseño Tecnología de la información"
Sika,eCommerce Business Analyst (m/f),"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 mes,73 visualizaciones,8955BR,Productos químicos,Jornada completa,Desarrollo empresarial Ventas,"Intro
Sika is a specialty chemicals company with a leading position in the development and production of systems and products for bonding, sealing, damping, reinforcing, and protecting in the building sector and motor vehicle industry. Sika has subsidiaries in 101 countries around the world and manufactures in over 300 factories. Worldwide Sika employs more than 25,000 people.

Sika Informationssysteme AG (SIS) operates Sika’s global modern IT platforms allowing our approx. 20’000 internal users to carry out their business processes efficiently. As a competent partner it supports the business (global, regional, local) and the local IT organizations to develop the next generation of innovative digital solutions.

The (Application Services) eCommerce team as part of SIS is a product-focused organization with a customer-centric vision, which delivers and maintains best-of-class IT eCommerce solutions for all Sika Companies & Sika Customers. This multi-functional team is composed of experts from a variety of disciplines (Project Management, DevOps, Architecture, Integration…) whose expertise is needed for the achievement of the goals of the team and SIS (Group IT department).

To ensure Sika’s success on the eCommerce Digital Journey and to further develop our eCommerce Team in Madrid (Spain), we are looking for a professional and highly technical-

eCommerce Business Analyst (m/f).
Exciting Challenges
The eCommerce Business Analyst reports to the Team Head of eCommerce. He/she utilizes broad IT & in-depth business knowledge to help deliver eCommerce solutions for the Sika Group and its companies around the World.
He/she understands and is comfortable with a variety of eCommerce platforms. Throughout iterative planning and analysis of requirements, the eCommerce Business Analyst must constantly ensure that the features and changes requested by the eCommerce Solution Users align with the product's business goals. Therefore, this role requires frequent interaction with international Customers, work closely with upper management and in close partnership with the eCommerce Project Manager(s).

What we offer you-
Capture requirements via Elicitation activities such as Requirement Gathering Interviews & Workshops, etc.
Responsible for the end-2-end Change Request Management process and for conducting functional govern-ance meetings with eCommerce Solution Users to gather and assess the value, urgency, and risks associated with the Change Requests.
Be involved in demo and User Acceptance Testing (UAT) sessions to confirm the correctness of previously elic-ited requirements and suggest the most appropriate way to meet the business needs in case of conflict or change.
Perform regular reviews and analyses of current processes and create informative, actionable and repeatable reporting that highlights relevant trends and opportunities for improvement.

We Need Your Skills
Bachelor’s degree in Computer Science/Information Technology or other advanced Technology degree.
Several years of experience as an Analyst in large-scale complex eCommerce B2B projects.
Proven experience and knowledge working with pricing procedures, condition types, pricing fields, etc.
Exceptional interpersonal and excellent verbal and written communication skills in English.
Extremely detail oriented and organized with strong problem-solving and time-management skills.
Experience with SAP Hybris / Commerce Cloud and knowledge of SAP Sales & Distribution and Logistics Execu-tion modules will be highly desirable.
Previous experience as Senior Developer, Architect and/or Product Owner will be highly desirable.
IIBA-certified Business Analyst will be considered as an advantage.
Occasional travel could be necessary (up to 10%).
Building Trust Every Day
Trust is the most important thing for us. We trust in the capabilities of all our Sika team members and reward them with freedom and empowerment – every day
We offer intensive training and interesting perspectives for anyone who wants to build a career
The chance to bring new ideas, interesting areas for development, and taking responsibility early on are some of the key factors that drive Sika's pioneering spirit
Contact
If you have any questions about Sika or this exciting opportunity, please feel free to contact Ivan Pendes -Talent Acquisition Partner at +41 58 436 44 81.

For insights into what our colleagues say about working at Sika, please click here.
Job Category
IT
Job ID
8955BR
Sector
Productos químicos
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas"
Stuart,Data Analyst - Liveops & Support,"Barcelona, Cataluña, España",Publicado hace hace 2 semanas,415 visualizaciones,Algo de responsabilidad,Servicios y tecnologías de la información Software Internet,Contrato por obra,Análisis,"Stuart (Geopost Group) is an eco-friendly 🌱 last-mile delivery company 📦 that connects retailers and e-retailers to a fleet of geo-localised couriers 🚴🏽‍♂️. 🚙. across several countries in Europe. Our mission is to build the future of logistics for a more sustainable world shared, efficient and reliable, as conscious consumers value more and more environmental responsibility besides speed of delivery and convenience.

Stuart is growing to fulfill that vision. In 2020 we doubled in size and continue to grow strong. We are a melting-pot of 400 people working from 🇫🇷 🇬🇧 🇪🇸 🇵🇱 & remote.

More than 2 000 companies work with us already across Food, Grocery, Retail and Pharmacy to deliver all types of goods, among which essentials for people on lockdown / self-isolating because of the coronavirus. We are at the right moment and the right place to make an impact on millions of people, as home delivery services hit a record high ! 🚀

Liveops & Support is in the heart of Stuart by enabling and regulating the operation with human touch at every point there is a need. While our operation is constantly scaling into new countries and cities, here we are working to create the best structure to manage its necessary counterpart human interaction. Data and reporting is in the center of this effort; carrying live interaction into databases, creating visibility for our executives, assisting their decision making and making the team prepared for tomorrow's challenges.

We are looking for a Data Analyst to join our award winning Liveops & Support team reporting to Çagri Azcan, Snr. Data Analyst. If you enjoy wrangling data, generating insights with SQL queries; visualizing the findings and creating robust reports with Tableau; and predict the tomorrow with the tools Python provides, then you are the person we are looking for! The ideal candidate has strong communication and problem-solving skills. Understanding the stakeholders and their needs is arguably the biggest enabler of the performance in this role. This is a great opportunity to grow your career at a young and agile yet global company and have a real impact on Stuart’s business, partners and customers.

Get to know more about our Innovative Liveops & Support team
How Slack helps delivery platform Stuart thrive in an on-demand world
Intercom to engage and proactively support their clients - at just the right time
Stuart and Pontica - the right partnership at the right time


Responsibilities
Understand Liveops & Support team's challenges, data/reporting needs and business requirements
Manage and manipulate data sets via SQL, including defining variables, performing calculations and summarizations, and creating solutions to address business requirements
Building both large systematic reports and one-off small pieces of analysis from multiple data sources (Tableau)
Proactively developing new analyses and insights, to drive decisions for workload reduction of agents and customer satisfaction increase
Debugging and problem solving issues to ensure delivery of accurate metrics
Provide hands-on Python development, with data processing and analysis automation


Requirements

Skill we are looking for
Strong analytical and quantitative skills in statistics and prior experience in empirical analysis
Ability to write complex SQL queries to analyze our databases
Designing good ways of communicating, visualizing or reporting results/analysis so they are clear and unambiguous
Analytical coding with tools such as Python, Excel, Gsheets
Data collection and manipulation scripting with Python/Pandas (JavaScript/Node.js is a plus)
Passionate about data, creative, highly meticulous, able to work under tight deadlines and are a team player
Proven ability to work in a fast-paced environment and to meet changing priorities on multiple simultaneous projects
English business proficiency


Benefits
International team
Good work-life balance work from home, flexible hours, extra days leave
Meal vouchers - Restaurant Tickets
Monthly gym allowance to use in any gym or for any sport class (40 € per month)
Excellent private medical insurance
Learning and training opportunities, access to online courses...
Tangible career development possibilities as we grow strong 🚀
After-works, Team-Buildings, annual company offsite – Ibiza in 2019!


Contract
Permanent
Full-time


After reading all this, just a few last but important words we want you to take on a role you love and we want you to come to a place you’re proud and happy to work every day.

If this sounds like you - apply! Get in touch with us, we want to hear more about you today!

“Logistics for a sustainable world.” That is the mission at the heart of Stuart Delivery. While customer expectations around the delivery experience are skyrocketing, cities are limiting traditional logistics methods to improve congestion, pollution and liveability. The convergence of these two trends means that a disruptive approach to last-mile delivery is not a nice-to-have but rather an inevitability.

Stuart sits at the crossroads of the future, using our best-in-class proprietary dispatch technology to connect small and big businesses alike to a shared fleet of geolocalised couriers. The result? Efficient, reliable, eco-friendly delivery to help retailers to meet their customers’ demands.

We launched in 2015 with a big vision and a handful of clients. Three and a half years later, couriers on our platform complete tens of millions of deliveries annually for the biggest brands across retail, eCommerce, grocery and food.

Stuart is an equal opportunity employer and we value diversity at our company. We don't discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status or disability status.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Contrato por obra
Funciones laborales
Análisis"
AgioGlobal Technology,Consultor Data Science,"Alicante/Alacant, Comunidad Valenciana / Comunitat Valenciana, España",Publicado hace hace 1 mes,126 visualizaciones,Algo de responsabilidad,Servicios y tecnologías de la información Software Recursos humanos,Jornada completa,Tecnología de la información,"Requisitos

El gran arquitecto de datos debe poseer las aptitudes necesarias para combinar las capacidades de plataformas y fuentes de datos heterogéneas de todo tipo de datos (estructurados, no estructurados o semiestructurados), y definir las normas y políticas para la gestión de esos datos y su difusión a los distintos agentes.
Debe poseer experiencia práctica en la extracción y el procesamiento de datos en tuberías (incluidas las plataformas de procesamiento en tiempo real o en corriente) y experiencia demostrada en sistemas, marcos e instrumentos relacionados con el análisis de datos y la presentación de informes. Conocimiento de la arquitectura e infraestructura nativa de la nube, incluyendo el SDLC y específicamente el proceso de construcción y despliegue de grandes soluciones de datos.
Deseable experiencia en marcos de contenedorización y orquestadores como Docker y Kubernetes.
Experiencia y conocimientos en la industrialización, instalación y despliegue de sistemas de inteligencia artificial y ciencia de los datos (como modelos de aprendizaje automático, sistemas de procesamiento del lenguaje natural o chatbots)
Buen conocimiento de los sistemas de información.
Conocimientos probados en consultoría de TI.
Fuerte capacidad de preparación y redacción de consultoría técnica.
Competencia en la comunicación en un entorno multilingüe.
Capacidad de trabajar en un entorno internacional y multicultural.
Capacidad demostrada para hablar, escribir y leer con fluidez en inglés (C1)

Funciones

Responsable del diseño e implementación de grandes soluciones de datos basadas en nuevas tecnologías y plataformas para problemas empresariales complejos.

Prestación de asesoramiento y asistencia en cualquier esfera relacionada con la adquisición, el suministro, la entrega, el mantenimiento, el despliegue, el alojamiento y la utilización eficaz de los sistemas de información y sus entornos
Prestación de servicios de consultoría técnica de seguridad, evaluaciones de seguridad u otras

cuestiones de seguridad relacionadas con los proyectos de sistemas de información.

Análisis técnico de riesgos.

Prestación de servicios de consultoría técnica, conocimientos técnicos, evaluaciones técnicasen relación con los sistemas de información
Experiencia

Mínimo de 10 años de consultoría técnica pertinente y experiencia en los últimos 15 años
Aptitudes y experiencia deseadas
Arquitecto Base de Datos, Data Analyst, Data Scientist, Virtualización, Docker, Kubernetes, Bigdata
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Ryanair - Europe's Favourite Airline,Business Analyst - Product Delivery (Temporary contract),"Madrid, Comunidad de Madrid, España",Publicado hace hace 3 días,1046 visualizaciones,Intermedio,Dotación y selección de personal Recursos humanos Aeronáutica/Aviación,Jornada completa,Análisis,"Ryanair Holdings plc, Europe’s largest airline group, is the parent company of Buzz, Lauda, Malta Air & Ryanair DAC. Carrying over 154 m guests p.a. on more than 2,400 daily flights from 82 bases, the group connects over 200 destinations in 40 countries on a fleet of over 475 aircraft, with a further 210 Boeing 737’s on order, which will enable the Ryanair Group to lower fares and grow traffic to 200m p.a. by FY24. Ryanair has a team of over 19,000 highly skilled aviation professionals delivering Europe’s No.1 on-time performance, and an industry leading 34-year safety record. Ryanair is Europe’s greenest cleanest airline group and customers switching to fly Ryanair can reduce their CO₂ emissions by up to 50% compared to the other Big 4 EU major airlines.

The Role

The role of the Digital Business Analyst is to understand and drive the product development of Ryanair’s platforms. You will be tasked with working with multiple stakeholders across the business in order to gather and document project requirements and to assist in the development process of Ryanair.com. This temporary (maternity cover) position will be based in Madrid, in Ryanair Labs Madrid, that provides services for Ryanair.

Responsibilities
Meet and work directly with stakeholders to define project requirements.
Collect and analyse business needs and translate into clear requirements for the development teams.
Translate high-level business requirements into robust functional specifications that are supported by user story boards/user cases.
Work closely with Product Owner, Scrum Master and UX/UI designers on use cases
Manage product backlogs and work with development team to drive delivery of value
Drive business analyst’s best practice to ensure high quality output is achieved


Requirements
Strong experience of Process Design and Business Analysis
Experience of working with Product teams and UX/UI designers an advantage
1/3 years of writing requirements documents and other software development materials
Experience of working in and agile, fast-paced consumer centric ecommerce environment.
Experience of working on major consumer interfacing websites an advantage
Strong hands-on Stakeholder Management
Excellent Document writing and detailed process understanding
Communicating and Influencing
Formalised training in Project Management or Process/Lean desirable


Benefits

Flight Benefits
Nivel de experiencia
Intermedio
Sector
Dotación y selección de personal Recursos humanos Aeronáutica/Aviación
Tipo de empleo
Jornada completa
Funciones laborales
Análisis"
Exogroup,Junior Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 2 semanas,95 visualizaciones,Algo de responsabilidad,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"Junior Data Analyst
Business Intelligence
Barcelona, Barcelona

EXOGROUP is a set of companies made up of +150 talents and offering a wide range of services within the digital business landscape with headquarters in Barcelona and offices in Dublin, Porto, Valencia, Madrid, Tarragona and Buenos Aires.

We are revolutionising the online ad-serving industry for advertisers, publishers and networks alike and are seeking to recruit a Talent Acquisition and Retention Specialist for our Barcelona office.

Role

As a Junior Data Analyst you will be part of the Business Intelligence team at EXOGROUP, which is a small and highly skilled and qualified department that has diverse responsibilities.

Together with the Head of Business Intelligence and Data Analysts you will develop and maintain weekly, monthly and quarterly reports that provide critical business visibility on key revenue and profit trends, by product, market, vertical and traffic sources. Additionally, based on detailed analysis of the segment, you will collaborate with the IT team to identify potential improvement in the intelligence platform by analysing and designing algorithms.

Tasks

Structure masses of information, identify data-driven trends and understand what really matters and why. Collect KPIs and design/define visualizations. Deliver insights and analytics across the company's operation and advertising departments. Ability to identify and escalate issues and opportunities ahead of time helping to reduce impact and improve financial / performance implications. Together with the Business Intelligence team, you will develop and promote actionable insights to increase the profitability of the company.

Skills

You thrive on data and have a highly analytical mind. Degree in information technology, business administration or mathematical sciences. Managing and prioritising workload, taking ownership of all assigned tasks. You feel comfortable retrieving, cleaning, tidying and processing data from different sources and formats. You have a general understanding of how web applications work. You have programming experience in Python. You are familiar with SQL. Experience with advanced statistical methodology, data and datasets is a plus. Strong verbal and written communication skills. The desire and agility to work in a fast-paced and ever evolving environment.

What we offer

We offer a position in a young, dynamic and international team made up of 33 nationalities.

We offer exceptional working conditions in unique offices high up in the Torre Mapfre, one of Barcelona's world-renowned landmarks, located right on the city's seafront.

Additionally, we offer the opportunity for permanent training, personal development, ambitious career growth and a very competitive salary.

Most of all, we offer a position in a team that thrives on achievement, success and leadership within our industry. Our core company value is innovation: where people and creativity drive innovative technology. If you have an innovative, winning mentality, this position is for you!

Our company benefits: Flexitime - Private health insurance - Your Birthday off as a paid holiday - Flexible compensation plan: travel, meals & childcare - EXOGROUP University, our in-house training - Employee referral program bonus - Off-site team building days out - Office games room/chill-out zone - Organic fruit - Friday team breakfast - Yoga classes - Massages - English & Spanish classes - Subsidised lunches

The companies that are part of EXOGROUP are the data controllers regarding your personal data, in order to consider your application for present or future vacancies in our organization. For more information about the processing of your personal data and on how to exercise your rights of access, rectification, suppression, limitation, portability and opposition please visit the Protection Informative Clause Candidates.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Cobblestone Energy,"HR TALENT ANALYST - Dubai, UAE","Madrid, Comunidad de Madrid, España",Publicado hace hace 1 mes,919 visualizaciones,Algo de responsabilidad,Software Dotación y selección de personal Servicios financieros,Jornada completa,Recursos humanos,"About Cobblestone

Cobblestone Energy is an independent trading firm. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading. Although we have experienced very strong growth so far, we are still near the start of our journey. We have ambitions to go a lot further.

Energy in one form or another is fundamental to almost all the world's economic activities. By understanding the demand, supply, and logistics of these commodities, we can better understand the world.

We specialize in the proprietary trading of the short-term wholesale electricity markets across Europe. We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country and growing every day. Technology and risk management form the backbone of our business.

Over the years we have grown organically. As part of our journey to be the best in all markets we enter, we would like to welcome a Talent Analyst into our HR (Human Resources) team. For this role we are looking for someone who has a passion for numbers and ability to use data to make decisions. HR experience is not mandatory however an interest in HR is important.

Cobblestone Values
Lifelong learning with continuous reflection
Independent thinking through a meritocracy of ideas
The team is more important than the individual.
Being the best in any market we enter
Hiring and keeping only the most effective people


HR Talent Analyst - Dubai, UAE

Starting Remuneration of 35,000 USD per annum, 0% Tax environment.

Are you passionate about finding and placing top talent and you know how to reach and engage candidates on a human level?

As a talent analyst, you will be responsible for executing our strategy for talent acquisition and continuously enhancing our selection process using data and candidate insights. Hiring is a key aspect of our operations and people play the greatest role in our advancement and success. We are looking for an ambitious and highly efficient resources that can deliver results. A professional that can match our hiring process with the best candidates across the world to ensure that we have the most talented individuals for our team.

What We Offer In This Role
A full-time position on our HR team
Opportunity to work closely with the management team.
Committed and remarkably talented colleagues.
Great compensation and rewards
An exciting, challenging and fulfilling career.
An opportunity to work on new things from scratch and make independent decisions.
Ability to work remotely.


Responsibilities
Determine and meet the company's current staffing needs.
Support in developing talent acquisition strategies and hiring plans.
Provide sound analysis and advice to business heads on the selection process.
Manage all candidate communication.
Prepare hiring dashboards.
Conduct in depth analysis on the selection process and use the insights to make improvements to the process.
Identify and partner with recruitment agencies and job sites.
Build strategic tie ups with reputed colleges for campus placement.
Manage job postings on social media.
Meet agreed Service Level Agreements (SLAs) for hiring.
Lead employment branding initiatives.
Perform sourcing to fill open positions and anticipate future needs.
Plan and ensure recruitment and selection processes (interviews, screening calls etc.) are conducted on time.
Take steps to ensure a positive candidate experience.
Organize and/or attend career fairs, assessment centres or other events.
Manage other HR activities as required.


Requirements
Strong numerical and research skills.
Passion for data analysis.
Proficient in the use of social media and job boards.
Willingness to understand the duties and competencies of different roles.
Excellent communicator.
Strong EQ skills.
Good Organization and reporting skills.
A passion for building talented teams.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values.


Desirable Qualities
1-2 years of experience in recruiting and talent acquisition.
Experience in full cycle recruiting and sourcing.
A passion for developing employer branding.
Proficient in the use of social media.
Experience in data processing, excel, SQL, databases.
Working knowledge of Applicant Tracking Systems (ATS) and databases


Job Location:

The role will be based in our Corporate office in Dubai.

Office Location:

Jumeirah Business Centre 2, Cluster V, Jumeirah Lake Towers, Dubai, United Arab Emirates
Nivel de experiencia
Algo de responsabilidad
Sector
Software Dotación y selección de personal Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Recursos humanos"
Adevinta,Data Analyst,"La Granada, Cataluña, España",Publicado hace hace 2 semanas,334 visualizaciones,Intermedio,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"Company Description

We are a world leading online classifieds business that reaches more than 200 million people each month through our household name brands across 16 countries. Our brands include Leboncoin, OLX, fotocasa, Infojobs and Shpock to name a few.

Our brands are supported by global tech hubs in Paris and Barcelona. Their goal is to develop common global product & innovation platforms which all of our brands can use; this means using bleeding edge technology to create highly scalable, highly customisable and secure products and components to free up the development time of our brands and leverage our access to global data.

Job Description

The Trust & Transactions tribe will play an instrumental role in supporting marketplaces in our joint mission.

Our Product Portfolio Consists Of Three Strong Products

We will achieve this by working closely with marketplaces to solve their main problems within these domains.
Messaging: Our in-app chat product
Serenity: Our fraud prevention application
Trust: Our product aimed at increasing the trust between buyers and sellers
We are looking for a proactive Data Analyst to help us take Trust and Transactions to the next level.

Responsibilities
Work closely with Product, UX and Engineering teams on optimizing existing features and building new ones.
Be responsible for experiments - brainstorm, design, plan, analyze and communicate results of the experiments that should help answering the most important business questions.
Perform analysis to understand user behaviour and proactively propose solutions based on the findings of this research.
Help stakeholders make decisions by answering their ad-hoc questions based on data
Design and maintain tracking events for the product to make sure the performance can be measured. At the same time, ensure the highest quality of the data collected.
Design KPIs to analyze performance of the product and its impact on business.
Build and maintain dashboards to allow stakeholders track performance of the features of their interest.
Work with Data Engineers to design and implement datasets to streamline analysis processes.
Have a key role in building data culture within the company. Teach your colleagues on the importance of data and explain statistical concepts to non-data people.

Qualifications
3-4 years of experience as Data Analyst, ideally in Product team
Excellent problem solving skills.
Ability to organize your work efficiently and prioritize tasks. Experience with Agile methodologies desired.
Solid statistical background.
Ability to run and optimize advanced SQL queries
Experience in defining tracking and events
Strong experience in experimentation (especially AB testing)
Advanced knowledge of Python / R with emphasis on data analysis packages.
Working knowledge of Jupyter Notebook.
Experience with visualization tools such as Tableau, Looker or Qlik.
Basic knowledge of Git and command-line
Very strong communication skills (both written and verbal). Ability to explain difficult concepts to non-technical audiences.

Additional Information

Not Essential But Would Be a Strong Plus
Experience in e-commerce company
Apache Spark
Basic knowledge of AWS Cloud
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Krashlando,Business Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 semana,229 visualizaciones,Algo de responsabilidad,Internet Dotación y selección de personal Servicios financieros,Jornada completa,Tecnología de la información,"Who is our client?
Krashlando is a consulting company aimed to find the best and most suitable talent for a certain job. Krashlando evaluates its candidates in their soft and hard skills, elaborates a professional profile and carries out a matching process in order to provide the companies with the best candidate.

What is this about?
As a Business Analyst, you will have to analyze the company and document its operations and processes, in order to evaluate the business model and how it integrates with technology. The Business Analyst has to lead to the improvement of the company´s operations and processes, products, services and the software through data analysis.

What hard skills are required?
Product Marketing - Business Development -Analytics - Digital Marketing - English C1

Knowledge about the sector.
-Office expertise.
-Communication skills.
-Ability to understand delegated objectives.
-Ability to run meetings with Stakeholders.
-Documenting and report writing.
-English level C1 minimum.

What soft skills are required?
-Openness: curious, imaginative, multiple skills.
-Kindness: cooperative, indulgent, caring.
-Extroversion: open, sociable.
-Stability: calmed, balanced, peaceful.
-Responsibility: hardworking, organized.
Nivel de experiencia
Algo de responsabilidad
Sector
Internet Dotación y selección de personal Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Kids&Us,ANALISTA DE DATOS,"Manresa, Cataluña, España",Publicado hace hace 3 días,312 visualizaciones,Sin experiencia,Educación primaria/secundaria Enseñanza superior Gestión educativa,Jornada completa,Tecnología de la información,"Descripción

En Kids&Us buscamos constantemente personas con talento y comprometidas con nuestro principal objetivo: lograr que los niños aprendan inglés.

Nuestro equipo de profesionales HQ son personas apasionadas por los grandes proyectos y retos, comprometidos con la enseñanza de los niños y niñas. En nuestras oficinas centrales se respira un ambiente joven y dinámico en el que seguro, te sentirás como en casa.

¿Quieres formar parte de Kids&Us?

Como “Analista de datos”, en la dirección de Método y Calidad de Kids&Us, serás el responsable del tratamiento de datos y resultados generales de la red para facilitar su lectura a otros departamentos y permitan el análisis de estos para la toma de decisiones, así como la definición de KPI’s de la compañía.

A Grandes Rasgos, Tus Funciones Serán
Extracto y cruce de datos elaborando los informes y presentaciones correspondientes en el ámbito de Calidad y de gestión de Red.
Elaboración y preparación de documentación a presentar al Comité de Dirección.
Análisis en profundidad y elaboración de presentaciones de estudios realizados.
Elaboración de estudios según necesidades.
Detección de alarmas.
Soporte en la definición de Planes de Acción, así como su impacto.
Requisitos mínimos

Formación
Formación universitaria en estadística i/o calidad.
Experiencia mínima
Entre 2 y 3 años en puesto similar.
Idiomas
Inglés: Nivel alto – C1
Castellano: Nivel usuario
Catalán: Nivel usuario
Conocimientos necesarios
Conocimientos en tratamiento y análisis de datos
Altos conocimientos de Excel
Dominio de SPSS o similar.
Fecha de incorporación: 04-03-2021
Nivel de experiencia
Sin experiencia
Sector
Educación primaria/secundaria Enseñanza superior Gestión educativa
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
